ITEM DESCRIPTION,FINISH / COLOR,PART NUMBER,SECTION,APPLICATION,MANUFACTURER,VENDOR,STANDARD / OPTION,option type,QTY,PRICE EACH,PRICE TOTAL
Ultra Bilge Pump Switch - PS06 Mini,Clear,US Ultimate Mini,Assembly (HULL),,,Depco,STANDARD,,1,$146.67,$146.67
Bilge Pump - 900 GPH,White,LP900S,Assembly (HULL),,,Midwest Marine ,STANDARD,,1,$75.53,$75.53
"Thru Hull - 1-1/2"" 90* w/ attatched barb",SS,78006,Assembly (HULL),"these go in trim tab pockets
they go to the lp overflow- p and st",,Gemlux,STANDARD,,2,$40.27,$80.54
"Thru Hull Adapter - 1-1/2"" FNPS x 1-1/2"" Barb",Black,THA-150-150-NPS,Assembly (HULL),"thr hull adapters 1.5"" they go on thruhulls on trim tab pockets
2 for both rear tubs-p and s
1-lp drain-s
1-bow livwell drain-p
1- port rear livewell overflow-p",,Gemlux,STANDARD,,5,$8.34,$41.70
"Thru Hull Adapter - 1"" FNPS x 1"" Barb",Black,THA-100-100-NPS,Assembly (HULL),"these are for thru hulls in trim tab pockets
1-gutter drain for bow livewell-s
1-maceractor-p
1-fowrward seat cooler drain-s
1-55g fishbox gutter drains-p",,Gemlux,STANDARD,,4,$5.20,$20.80
"Thru Hull Adapter - 90* 1"" FNPS x 1"" Barb",Black,THA-100-100-90-NPS,Assembly (HULL),"these go on thru hulls on trim tab pockts
1 per scupper (2 total)",,Gemlux,STANDARD,,2,$6.51,$13.02
"Thru Hull Adapter - 90* 1"" FNPS  x 3/4"" Barb",Black,THA-100-075-90-NPS,Assembly (HULL),this goes on a thru hull on the stbd sid hull in the middle of the boat for miship bilge,,Gemlux,STANDARD,,1,$5.38,$5.38
"Anchor Locker Drain - 3/4"" Shower Short",SS,316,Assembly (HULL),this goes in the front compartment for the ancholer locker drain,,Midwest Marine ,STANDARD,,1,$28.88,$28.88
"Thru Hull - 1"" NPS, 2-1/2"" Long, Forged W / Nut",SS,TH-100-250-NPS,Assembly (HULL),"1- goes in the middle of the hull for the midship bilge
2-transom for bilge pumps
4 in the trim tab pockets 2p and 2 stbd
1-seachest for saltwater wash",,Gemlux,STANDARD,,8,$22.84,$182.72
"Thru Hull - 1-1/2"" NPS, 2-1/2"" Long, Forged Nut",SS,TH-150-250-NPS,Assembly (HULL),"athese thru hulls go in trim tab pocket
2-for scuppers p and s
2-for lp overflow p and s
2- for rear tub drains p and s
1-for lp drain S",,Gemlux,STANDARD,,7,$22.84,$159.88
"Duck Bill Assembly for 1-1/2"" Thru Hull",Black,THA-150-DB,"Assembly (HULL)
scupper drains",these go in the thru hulls for the scupper drains,,Gemlux,STANDARD,,2,$5.72,$11.44
"Thru Hull Adapter - 90* 1-1/2"" FNPS x 1-1/2"" Tube",Black,THA-150-150-90-NPS,"Assembly (HULL)
scupper drains",these are the scupper drains they go on the thruhulls with the duckbills,,Gemlux,STANDARD,,2,$6.51,$13.02
"Thru Hull - 1-1/2"" NPT, 2-1/2"" Long, Forged Nut",SS,TH-150-250,Assembly (HULL),these are npt thay are for the highspeed pickup sot he ss street 90 can attatch,,Gemlux,STANDARD,,2,$27.89,$55.78
"Hose Barb - 1-1/2"" x 1-1-2"" MNPS Long Thread",Black,90730,"Assembly (HULL)
seachest",these go in the ball valves that are attatched to the highspeed pickups,,Gemlux,STANDARD,,2,$3.78,$7.56
"90* Elbow, 3/4"" FPT x 3/4"" Nipple",Black,90835,"Assembly (HULL)
seachest","seachest vents they go on thru hulls
1 at seachset
1 on hull",trudesign,Gemlux,STANDARD,,2,$4.53,$9.06
"Thru Hull - 3/4""",SS,70002-2,"Assembly (HULL)
seachest","seachest vents they go on seachest and hull
1 at seachset
1 on hull",,Gemlux,STANDARD,,2,$20.28,$40.56
"High-Speed Pickup Plates / Intake Screen, (Med)",SS,87012,"Assembly (HULL)
seachest",these go on the the bottom of the hull covering  thru hulls that go to the seachest,,Gemlux,STANDARD,,2,$82.54,$165.08
"Thru Hull - 1-1/2"" 90*, Barbed",SS,78006,"Assembly (HULL)
seachest",these go in the seachest for the fills,,Gemlux,STANDARD,,2,$40.27,$80.54
"Thru Hull Adapter - 1"" FNPS x 3/4"" Barb",Black,THA-100-075-NPS,"Assembly (HULL)
seachest",this goes on the thru hull in the seachst for saltwater wash,,Gemlux,STANDARD,,1,$4.74,$4.74
"Ball Valve - 1-1/2"" NPS",Black,90663,"Assembly (HULL)
seachest",these go on the highspeed pickup the seaches,,Gemlux,STANDARD,,2,$53.98,$107.96
T handle replacment kit,Blue,91040,"Assembly (HULL)
seachest",we replace the handles that come on the ball valves for the seachest with these becasue they wont hit anything,,Gemlux,STANDARD,,2,$4.83,$9.66
"Thru Hull - 1"" NPT, 2-1/2"" Long, Forged W / Nut",SS,TH-100-250,"Assembly (HULL)
seachest",these  are npt for seachest-they are for the baitwell pumps(all fittings are ss and npt),,Gemlux,STANDARD,,3,$22.84,$68.52
"Street 90* - 1-1/2"" , #304SS",SS,SS304-62014,"Assembly (HULL)
seachest",these go on the highspeed pickup the seaches,,PlumbingSupply.com,STANDARD,,2,$25.61,$51.22
Screw In Drain Plug - White,White,DP-2DP,"Assembly (HULL)
seachest",this is the drain for the seachest,,Donovan Marine,STANDARD,,1,$7.20,$7.20
"Bell Reducing Coupler - 1"" IPS x 3/4"" IPS",SS,SS-COUP-RED-100-075,"Assembly (HULL)
seachest","these are for the seachest they go on the ss nipples
1 per baitwell pump (3 total)",,PlumbingSupply.com,STANDARD,,3,$11.04,$33.12
"90* - 1"" Elbow, #304SS",SS,SS304-60210,"Assembly (HULL)
seachest","these are for the seachest they go on the thruhull
1 per baitwell pump (3 total)",,PlumbingSupply.com,STANDARD,,3,$16.95,$50.85
"Nipple - 1"" IPS x 2"" Long Thread Pipe, #304SS",SS,SS-NIP-100-200,"Assembly (HULL)
seachest","these are fot the seachest they go on the ss 90s
1 per baitwell pump (3 total)",,PlumbingSupply.com,STANDARD,,3,$8.18,$24.54
"Seachest Poly Lid, W / Holes",Clear,BBW0080,"Assembly (HULL)
seachest",this is the lid for the seachest,,Waterway Systems,STANDARD,,1,$75.00,$75.00
"Check Valve , 3/4"" - Black",Black,90804,"Assembly (HULL)
seachest",this is the check valve that goes in line for the seachest vent,,Gemlux,STANDARD,,1,$8.54,$8.54
Piranha 1100,White,357-103-00,"Assembly (HULL)
seachest",these are the baitwell pumps for the seachest,,Pentair,STANDARD,,3,$21.66,$64.98
Piranha 1100,White,357-103-00,Assembly (HULL) - OPTION,"W / Extra Baitwell
these are the baitwell pumps for the seachest",,Pentair ,OPTION,extra baitwell,1,$21.66,$21.66
"Bell Reducing Coupler - 1"" IPS x 3/4"" IPS",SS,SS-COUP-RED-100-075,Assembly (HULL) - OPTION,"W / Extra Baitwell
these are for the seachest they go on the ss nipples
1 per baitwell pump",,PlumbingSupply.com,OPTION,extra baitwell,1,$11.04,$11.04
"90* - 1"" Elbow, #304SS",SS,SS304-60210,Assembly (HULL) - OPTION,"W / Extra Baitwell
these are for the seachest they go on the thruhull
1 per baitwell pump",,PlumbingSupply.com,OPTION,extra baitwell,1,$16.95,$16.95
"Nipple - 1"" IPS x 2"" Long Thread Pipe, #304SS",SS,SS-NIP-100-200,Assembly (HULL) - OPTION,"W / Extra Baitwell
these are fot the seachest they go on the ss 90s
1 per baitwell pump ",,PlumbingSupply.com,OPTION,extra baitwell,1,$8.18,$8.18
"Thru Hull - 1"" NPT, 2-1/2"" Long, Forged W / Nut",SS,TH-100-250,Assembly (HULL) - OPTION,"W / Extra Baitwell
this goes in the seachest 1 per baitwell pump (has to be npt)",,Gemlux,OPTION,extra baitwell,1,$22.84,$22.84
"Thru Hull - 1-1/2"" NPT, 2-1/2"" Long, Forged Nut",SS,TH-150-250,Assembly (HULL) - OPTION,"W / Extra Baitwell
this goes in the trim tab pocket for rear port baitwell drain",,Gemlux,OPTION,extra baitwell,1,$27.89,$27.89
"Thru Hull Adapter - 1-1/2"" FNPS x 1-1/2"" Barb",Black,THA-150-150-NPS,Assembly (HULL) - OPTION,"W / Extra Baitwell
this goes on the thruhul in the trim tab pocket",,Gemlux,OPTION,extra baitwell,1,$8.34,$8.34
Hose Clamp #12,SS,HF12SS,Assembly (HULL) - OPTION,"W / Extra Baitwell
these are for the fill hose",,Florida Industrial Supplies,OPTION,extra baitwell,4,$0.97,$3.88
Hose Clamp #20,SS,HF20SS,Assembly (HULL) - OPTION,"W / Extra Baitwell
these are for the drain hose",,Florida Industrial Supplies,OPTION,extra baitwell,4,$1.04,$4.16
"Tee - 1"", Barbed",GREY,24099,Assembly (HULL),this is for connecting the 150g and 55g fishbox drains to the macerator,,US Plastics,STANDARD,,1,$3.06,$3.06
MDI Hull Harness,Black,500-0000,Assembly (HULL),Entire Hull Wire Harness,,MDI,STANDARD,,1,"$2,971.11","$2,971.11"
Trim Tab Kit,SS,CXKSSL12X9-0071,Assembly (HULL),this is the standard trim tab kit ,,LectroTab,STANDARD,,1,$598.00,$598.00
Trim Tab Kit,SS,9610007870,Assembly (HULL) - OPTION,this is another option heavier duty,,Dometic,OPTION,upgraded trim tab,1,$801.00,$801.00
Airmar B175M (12° Tilt),Brass,010-11939-21,Assembly (HULL),this is the standard thruhull transducer,,Garmin,STANDARD,,1,$909.99,$909.99
Airmar B175HW (12° Tilt),Brass,010-12181-21,Assembly (HULL) - OPTION,this is for a second high wide transducer,,Garmin,OPTION,second transducer,1,$104.99,$104.99
Gulper Grouper Macerator,Black,BP4572,Assembly (HULL),Macerator Pump,,Attwood,STANDARD,,1,$240.82,$240.82
Gulper Grouper Macerator,Black,BP4572,Assembly (HULL) - OPTION,Extra Macerator Pump,,Attwood,OPTION,extra macerator,1,$240.82,$240.82
"Tee - 1"", Barbed",Grey,24099,Assembly (HULL),this is what tees together the side fishboxes if extra macerator,,US Plastics,STANDARD,,1,$3.06,$3.06
Hose Clamp #12,SS,HF12SS,Assembly (HULL) - OPTION,W / Extra Macerator,,Florida Industrial Supplies,OPTION,extra macerator,16,$0.97,$15.52
"Thru Hull - 1"" NPS, 2-1/2"" Long, Forged W / Nut",SS,TH-100-250-NPS,Assembly (HULL),"W / Extra Macerator
for the drain out of the tubs",,Gemlux,OPTION,extra macerator,1,$22.84,$22.84
"Thru Hull Adapter - 90* 1"" FNPS x 1"" Barb",Black,THA-100-100-90-NPS,Assembly (HULL),"W / Extra Macerator
to attatch to the hose for the drain out ",,Gemlux,OPTION,extra macerator,1,$6.51,$6.51
Anchor Rope Plate,SS ,1266,Assembly (HULL),this attatches to the bow d-ring,,Marine Surplus,STANDARD,,1,$11.72,$11.72
Water Tank - 20 Gallons,White,503131,Assembly (HULL) - OPTION,Larger Water Tank if no Sump Pump System is Intalled,Defender,Defender,OPTION-obsolete,fresh water,1,$197.55,$197.55
Water Tank - 9 Gallons,White,WT-5543,Assembly (HULL) - OPTION,Fresh Water Tank if Sump Pump System is Installed,Ameri-Kart,Amazon,OPTION,fresh water,1,$96.97,$96.97
"Hose Barb - 1-1/2"" x 1-1/2"" NPS Long Male Thread",Black,90730,Assembly (HULL) - OPTION,this is the fill for the freshwater tank,,Gemlux,OPTION,fresh water,1,$3.78,$3.78
Straight Water Tank Fitting,White,1377,Assembly (HULL) - OPTION,"these screw into the tank for 3/4 hose
1 for vent
1 for outlet",,US PLASTICS,OPTION,fresh water,2,,$0.00
Underwater Lights - ColorCaster,SS ,SCM-10-CC-20,Assembly (HULL) - OPTION,(2) Transom,,Shadow Caster,OPTION,underwater lights,2,$399.00,$798.00
Underwater Lights - ColorCaster,SS ,SCM-10-CC-20,Assembly (HULL) - OPTION,(2) Step,,Shadow Caster,OPTION,underwater lights,2,$399.00,$798.00
"Sump Box - 1100GPH, 12V",White,99B,Assembly (HULL),,,West Marine,STANDARD,,1,$173.65,$173.65
"Thru Hull - 1"" NPS, 2-1/2"" Long, Forged W / Nut",SS ,TH-100-250-NPS,Assembly (HULL),W / Sump Box,,Gemlux,STANDARD,,1,$22.84,$22.84
"Thru Hull Adapter - 90*, 1"" FNPS x 1"" Tube",Black,THA-100-100-90-NPS,Assembly (HULL),W / Sump Box,,Gemlux,STANDARD,,1,$6.51,$6.51
"Marelon Flanged Seacock - 1.5"" Ball Valve",Black,904011,Assembly (HULL),W / Sump Box,Forespar,Forespar,STANDARD,,2,$77.56,$155.12
"Hose Barb - 1-1/2"" x 1-1-2"" MNPS Long Thread",Black,90730,Assembly (HULL),W / Sump Box,,Gemlux,STANDARD,,4,$3.78,$15.12
Hose Clamp - #20,SS ,HF20SS,Assembly (HULL),"W / Sump Box
2 on each scupper (4 total)
2 on each side of the ball valve (4 total) x 2 (8 total)
2 on each side of t (6  total) 
2 on sump box",,Florida Industrial Supplies,STANDARD,,20,$1.04,$20.80
Hose Clamp - #12,SS ,HF12SS,Assembly (HULL),W / Sump Box,,Florida Industrial Supplies,STANDARD,,4,$0.97,$3.88
"8940 Flush Master Toilet - 12V, White",White,"9600015504
304894020",Assembly (HULL) - OPTION Toilet,W / Full Toilet,,Dometic,OPTION,plumbed head,1,$791.31,$791.31
12V Macerator Pump,Black,18590-2092,Assembly (HULL) - OPTION Toilet,"W / Full Toilet
this is to pump out waste tank",,Depco,OPTION,plumbed head,1,$171.60,$171.60
Y-Valve - AquaValve,White,90314,Assembly (HULL) - OPTION Toilet,"W / Full Toilet
this is to select overboard dishcarge or cean out",TruDesign,Gemlux,OPTION,plumbed head,1,$61.84,$61.84
"Vented -U 1""",White,90321,Assembly (HULL) - OPTION Toilet,"W / Full Toilet
this is the vented loop for toilet vent",TruDesign,Gemlux,OPTION,plumbed head,1,,$0.00
"Hose Barb - 90* 1-1/2"" x 1-1/2"" BPSThread
Y valve only fittings ",White,90298,Assembly (HULL) - OPTION Toilet,"W / Full Toilet
these are the only fittings that can screw into the y-valve for te toilet",TruDesign,Gemlux,OPTION,plumbed head,3,,$0.00
"Thru Hull - 1"" NPS, 2-1/2"" Long, Forged W / Nut",SS ,TH-100-250-NPS,Assembly (HULL) - OPTION Toilet,"W / Full Toilet
this is the discharge thruhull",,Gemlux,OPTION,plumbed head,1,$22.84,$22.84
"Ball Valve - 1"" NPS",Black,90661,Assembly (HULL) - OPTION Toilet,"W / Full Toilet
this goes on the discharge thruhull",,Gemlux,OPTION,plumbed head,1,$42.87,$42.87
"Hose Barb 1"" x 1"" NPS Long Male Thread, Black",Black,90728,Assembly (HULL) - OPTION Toilet,"W / Full Toilet
this screws in the ball valve for discharge",,Gemlux,OPTION,plumbed head,1,$3.78,$3.78
Hose Clamp #20,SS,HF20SS,Assembly (HULL) - OPTION Toilet,"W / Full Toilet
2 on each side of y valve (6 total)
2 on macerator
2 on tank
2 on waste fill",,Florida Industrial Supplies,OPTION,plumbed head,12,$1.04,$12.48
Hose Clamp #12,SS,HF12SS,Assembly (HULL) - OPTION Toilet,"W / Full Toilet
2 macerator
2 on each sid of vented loop (4 total)
2 on thruhull",,Florida Industrial Supplies,OPTION,plumbed head,8,$0.97,$7.76
Anode - Martyr Medium Sacrifical,Silver,CMN1Z,Assembly (HULL) - OPTION, W / Bonding System,,Defender,OPTION,bonding system,1,$21.99,$21.99
Anode - Lenco Trim Tab Sacrifical,Silver,872511,Assembly (HULL) - OPTION, W / Bonding System,,Defender,OPTION,bonding system,1,$19.94,$19.94
"90* Adapter - 1/2"" FPT x 1/2"" Barb",Black,62794,Assembly (HULL) - OPTION,"W / Seakeeper
these screw on the thru hull for hose connection
1 on seachest thruhull
1 on hull thruuhull",,Gemlux,OPTION,seakeeper,2,$2.25,$4.50
"Thru Hull - 1/2"" NPT",SS ,70001-2,Assembly (HULL) - OPTION,"W / Seakeeper
1 goes into the seachest for the water pickup
1 goes in the hull opposite the fwd bilge",,Gemlux,OPTION,seakeeper,2,$13.14,$26.28
Hose Clamp - #6,SS ,HF06SS,Assembly (HULL) - OPTION,"W / Seakeeper
these go on the hoses for the water inlet and outlet for the seakeeper
2 on seachest 2 on pump
2 on seakeeper 2 on thruhull 
",,Florida Industrial Supplies,OPTION,seakeeper,8,$0.56,$4.48
Small Overflow Plate,White,20152-306013,Assembly (DECK),"starboard overflow plate with holes goes over the white 1-1/2"" 90",,Teak Isle,STANDARD,,1,$17.45,$17.45
"Thru Hull Fittings - 1-1/2"", 90* White",White,TH-1592-DP,Assembly (DECK),this is the overflow for the bow livewell,TH Marine,William F. Miller,STANDARD,,1,$10.07,$10.07
"Adjustable Fin Safe Live Well Feed NPT, White",White,74006,Assembly (DECK),"livewell feed 
1 port rear livewell
1 bow livewell",,Gemlux,STANDARD,,2,$33.04,$66.08
"Thru Hull Adapter - 90* 1"" FNPS x 1"" Tube",Black,THA-100-100-90-NPS,Assembly (DECK),"screws on to the livel feed for hose connection
1 port rear livewell
1 bow livewel",,Gemlux,STANDARD,,2,$6.51,$13.02
"Overflow Drain - 1-1/2"", Nylon Body w / SS Cover",ss/black,89530,Assembly (DECK) - OPTION,this goes in the port rear baitwell for an overflow ,,Gemlux,STANDARD,,1,$17.22,$17.22
Adjustable Livewell Drain W / Plug,White,74601,Assembly (DECK) - OPTION,"the drain for the tubs
1 bow livewell
1 port rear livewell
1 stbd rear tub",,Gemlux,STANDARD,,3,$21.56,$64.68
"Thru Hull 1.5"" x 1.5"" 90-Degree",Black,THA-150-150-90-NPS,,"this screw on to the drain for hose connection
1 bow livewell
1 port rear livewell
1 stbd rear tub
1 goes on bow livewell overflow fitting",,Gemlux,STANDARD,,4,$9.08,$36.32
"Livewell Light, Newt - Clear, Blue",Clear,101085,Assembly (DECK),"(2) Rear Baitwell
(1) Bow Baitwell",,Lumitec,STANDARD,,3,$11.81,$35.43
"Tee - 1-1/2""",,TEE-112,Assembly (DECK),this connects the overflow and the drain to send 1 hose out ,TH Marine,William F. Miller,STANDARD,,1,$2.54,$2.54
"Adjustable Fin Safe Live Well Feed NPT, White",White,74006,Assembly (DECK) - OPTION,"W / Extra Baitwell
livewell feed 
1  stbd rear livewell
",,Gemlux,OPTION,extra baitwell,1,$33.04,$33.04
"Thru Hull Adapter - 90* 1"" FNPS x 1"" Tube",Black,THA-100-100-90-NPS,Assembly (DECK) - OPTION,"W / Extra Baitwell
screws on to the livel feed for hose connection
1 stbd rear livewell",,Gemlux,OPTION,extra baitwell,1,$6.51,$6.51
"Overflow Drain - 1-1/2"", Nylon Body w / SS Cover",ss/black,89530,Assembly (DECK) - OPTION,"W / Extra Baitwell
this goes in the stbd rear baitwell for an overflow ",,Gemlux,OPTION,extra baitwell,1,$17.22,$17.22
"Gutter Drain - 1"", SS",SS,316-1,Assembly (DECK),"these are just the caps of the gutter drains they go in areas that don t have a hose connection
2 in the anchor locker
2 in the rod lockers for drains on the inside",,Midwest Marine,STANDARD,,4,$19.88,$79.52
"Gutter Drain - 90*, 1"", SS",SS ,316 OPT-1,Assembly (DECK),"these are the 90 deck drains used to plumb the water out
2 go in the bow livewell",,Midwest Marine,STANDARD,,2,$33.33,$66.66
"Tee - 1"", Barbed",Grey,24099,Assembly (DECK),this is to tee the bow livewell gutter drains so we only have to run one hose,,US Plastics,STANDARD,,1,$3.06,$3.06
"Cleat, SS 8"" Sleek Cutting Edge",SS,68504,Assembly (DECK),"the cleats go on the deck 
2 in bow
2 midship
2 in transom set back",,Gemlux,STANDARD,,6,$52.51,$315.06
"Cleat, SS 8"" Sleek Cutting Edge",SS,68504,Assembly (DECK) - OPTION,Per customer request,,Gemlux,OPTION,extra cleat,2,$52.51,$105.02
Rod Holder - 15* Standard Screwless,SS,105526,Assembly (DECK),rod holders that go on the dek in any configuration customer wants,,Gemlux,STANDARD,,4,$73.52,$294.08
Rod Holder - 15* Standard Screwless,SS,105526,Assembly (DECK) - OPTION,"Per customer request
rod holders that go on the dek in any configuration customer wants",,Gemlux,OPTION,extra 15 rod holder,2,$73.52,$147.04
Rod Holder - 30* Standard Screwless,SS,105525,Assembly (DECK) - OPTION,"Per customer request
rod holders that go on the dek in any configuration customer wants",,Gemlux,OPTION,extra 30 rod holder,2,$72.33,$144.66
Cup / Rod Combo - 15*,SS,105546,Assembly (DECK) - OPTION,"Per customer request
cup/rod combo that go on the dek in any configuration customer wants",,Gemlux,OPTION,extra 15 cup/rod holder,2,$119.84,$239.68
Cup / Rod Combo - 30*,SS,105545,Assembly (DECK) - OPTION,"Per customer request
cup/rod combo that go on the dek in any configuration customer wants",,Gemlux,OPTION,extra 30 cup/rod holder,2,$119.84,$239.68
"Cupholder W / Drain, SS",SS,LCH-1SS,Assembly (DECK),cup holder that go in the rear by the bilge access near the rear bench seat,TH Marine,William F. Miller,STANDARD,,2,$6.45,$12.90
"Cupholder W / Drain, SS",SS,LCH-1SS,Assembly (DECK) - OPTION,Per customer request,TH Marine,William F. Miller,OPTION,extra cup holder,2,$6.45,$12.90
Accent Lighting LED Flex Strip - 16',Clear,SCM-AL-LED-16,Assembly (DECK),these are the strip lights that go under the deck,,Shadow Caster,STANDARD,,2,$95.00,$190.00
"Fuel Fill - 1-1/2""",SS,BK0160001,Assembly (DECK),these are the fuel fills for the gas tank,,Dometic,STANDARD,,2,$78.93,$157.86
"Fuel Fill - 1-1/2""",SS,BK0160001,Assembly (DECK) - OPTION,"W / Aux Tank
this is the fuel fills for the gas tank",,Dometic,OPTION,aux fuel,1,$78.93,$78.93
Quick Release Fender Locks,SS,F16-0151,Assembly (DECK) - OPTION,these are for push button fender holders go on the deck at customers request,,Taco Marine,OPTION,quick release fender locks,4,$53.51,$214.04
"Water Fill - 30*, 1-1/2""",SS,324,Assembly (DECK) - OPTION,"W / Fresh Water Tank
this is the fill for the water tank
it goe on the transom setback ",,Midwest Marine,OPTION,fresh water,1,$79.73,$79.73
Coiled Flexible Insert - WHITE,White,F850-W,Assembly (DECK),"this i the insert that attatvhes to the rubrail sticks on the boat
color dependent",,Integrity Marine,STANDARD,,75,$2.50,$187.50
Coiled Flexible Insert - BLACK,Black,F850-B,Assembly (DECK),"this i the insert that attatvhes to the rubrail sticks on the boat
color dependent",,Integrity Marine,STANDARD,,75,$2.50,$187.50
"Rub Rail Sticks, 2-1/2"" - 20' White",White,R1414-W,Assembly (DECK),"this is what screws to the boat for what the insert attatches to
color dependent",,Integrity Marine,STANDARD,,3.5,$90.00,$315.00
"Rub Rail Sticks, 2-1/2"" - 20' Black",Black,R1414-B,Assembly (DECK),"this is what screws to the boat for what the insert attatches to
color dependent",,Integrity Marine,STANDARD,,3.5,$90.00,$315.00
"Rub Rail - Insert for SS - White, 65' Roll",White,V21-9906WHC60D,Assembly (DECK) - OPTION,"this is the part that screws to the baot for the stainlles insert to attactch
color deendent",,Taco Marine,OPTION,ss rubrail option,1,$212.12,$212.12
"Rub Rail - Insert for SS - Black, 65' Roll",Black,V21-9906BKA60D,Assembly (DECK) - OPTION,"this is the part that screws to the baot for the stainlles insert to attactch
color deendent",,Taco Marine,OPTION,ss rubrail option,1,$175.01,$175.01
"Rub Rail Sticks - 3/4"" SS Hollow Back, 20' Stick",SS,S11-4511P20,Assembly (DECK) - OPTION,"these are the stainless sticks for the inser
",,Taco Marine,OPTION,ss rubrail option,3,$57.35,$172.05
Rub Rail Aft Pre-Bent SS Insert,SS,M15-4511-8,Assembly (DECK) - OPTION,this is the pre bent transom piece for the stainless insert,,Taco Marine,OPTION,ss rubrail option,1,$205.35,$205.35
Parana 1100GPH Angled,White,357-104-00,Assembly (DECK) - OPTION,Recirc for In Deck Livewell (qty 1 - 3 depending on how many option livewells),Pentair,CWR,OPTION,recirc,1,$50.92,$50.92
"Aerator Filter Screen - 3/4""-14 Thread",ss/black,AS-1-DP,Assembly (DECK) - OPTION,Recirc for In Deck Livewell (qty 1 - 3 depending on how many option livewells),,TH Marine,OPTION,recirc,1,$6.62,$6.62
NPT Adjustable Fin Safe Live Well Feed,White,74006,Assembly (DECK) - OPTION,Recirc for In Deck Livewell (qty 1 - 3 depending on how many option livewells),,Gemlux,OPTION,recirc,1,$33.04,$33.04
"Thru Hull 1"" x 1"" 90-Degree",White,THA-100-100-90,Assembly (DECK) - OPTION,Recirc for In Deck Livewell (qty 1 - 3 depending on how many option livewells),,Gemlux,OPTION,recirc,1,$6.51,$6.51
